time_years,cumulative_log_growth,mean_megno,relative_energy_error
5.7210309064e+07,1.8769673124e+01,2.2290370484e+00,6.451616e-07
5.7395030267e+07,1.8465355063e+01,2.2280128749e+00,5.781128e-07
5.7619751870e+07,1.9163015803e+01,2.2267243940e+00,5.853246e-07
5.7804473073e+07,1.9098827115e+01,2.2256294623e+00,6.602407e-07
5.7989194276e+07,1.8593106099e+01,2.2243736527e+00,9.056293e-07
5.8213915879e+07,1.8416400263e+01,2.2227844983e+00,8.338026e-07
5.8398637082e+07,1.9082622754e+01,2.2214653823e+00,3.819036e-07
5.8583358685e+07,1.8927866615e+01,2.2201410708e+00,9.417036e-07
5.8808079888e+07,1.8395400159e+01,2.2184118458e+00,9.171602e-07
5.8992801091e+07,1.8439244465e+01,2.2168886044e+00,6.414444e-07
5.9217522694e+07,1.8986104601e+01,2.2150176029e+00,6.953180e-07
5.9402243897e+07,1.8478185200e+01,2.2134909025e+00,5.987000e-07
5.9586965500e+07,1.8503468542e+01,2.2117997639e+00,6.578164e-07
5.9811686703e+07,1.8949743590e+01,2.2098010288e+00,6.235137e-07
5.9996407906e+07,1.8523664952e+01,2.2080822626e+00,7.910461e-07
6.0181129509e+07,1.8551951645e+01,2.2062594560e+00,7.942144e-08
6.0405850712e+07,1.8986583702e+01,2.2040559200e+00,5.961142e-07
6.0590572315e+07,1.8811522032e+01,2.2022488667e+00,8.946797e-07
6.0815293518e+07,1.8487625634e+01,2.1999425234e+00,8.360878e-07
6.1000014721e+07,1.8492035875e+01,2.1980022829e+00,7.278921e-07
6.1184736323e+07,1.8611245484e+01,2.1960680240e+00,6.054799e-07
6.1409457527e+07,1.8748073552e+01,2.1937428907e+00,6.120717e-07
6.1594179130e+07,1.8817937855e+01,2.1918451012e+00,6.152818e-07
6.1818900333e+07,1.8354944851e+01,2.1895031686e+00,6.008907e-07
6.2003621536e+07,1.8597902020e+01,2.1875932912e+00,7.153282e-07
6.2188343138e+07,1.8872062567e+01,2.1857334083e+00,7.567078e-07
6.2413064342e+07,1.8733502186e+01,2.1834873819e+00,9.466291e-07
6.2597785545e+07,1.8447524827e+01,2.1816341329e+00,8.295227e-07
6.2782507147e+07,1.8548871112e+01,2.1797658692e+00,7.323663e-07
6.3007228351e+07,1.8699499369e+01,2.1775161509e+00,7.978361e-07
6.3191949953e+07,1.8698638258e+01,2.1756968597e+00,6.332916e-07
6.3416671157e+07,1.8450831149e+01,2.1734358372e+00,6.454649e-07
6.3601392359e+07,1.8680983162e+01,2.1715928511e+00,5.950013e-07
6.3786113962e+07,1.8655537266e+01,2.1697421294e+00,6.953657e-07
6.4010835166e+07,1.8540628472e+01,2.1674734943e+00,6.750914e-07
6.4195556768e+07,1.8664644987e+01,2.1656218467e+00,9.402010e-07
6.4380277971e+07,1.8581130055e+01,2.1637729631e+00,5.457375e-07
6.4604999174e+07,1.8609891797e+01,2.1615464438e+00,1.052037e-07
6.4789720777e+07,1.8849270188e+01,2.1597395792e+00,8.078080e-07
6.5014441981e+07,1.8322597872e+01,2.1575599844e+00,8.607305e-07
6.5199163583e+07,1.8432350692e+01,2.1557825520e+00,6.605721e-07
6.5383884786e+07,1.8845620679e+01,2.1540426222e+00,5.985279e-07
6.5608605989e+07,1.8758749224e+01,2.1520177257e+00,6.004283e-07
6.5793327592e+07,1.8394343844e+01,2.1504030056e+00,6.745472e-07
6.6018048796e+07,1.8403556762e+01,2.1484635515e+00,6.271443e-07
6.6202770398e+07,1.8603909490e+01,2.1469152533e+00,7.885736e-07
6.6387491601e+07,1.8841831355e+01,2.1454298021e+00,5.966918e-08
6.6612212804e+07,1.8964911908e+01,2.1437190341e+00,3.794826e-07
6.6796934407e+07,1.8448148415e+01,2.1423539249e+00,9.682499e-07
6.6981655610e+07,1.8558256182e+01,2.1410085834e+00,6.485377e-07
6.7206376813e+07,1.8930975887e+01,2.1395550384e+00,6.840020e-07
6.7391098416e+07,1.8356757341e+01,2.1383709076e+00,5.852373e-07
6.7615819619e+07,1.8777378900e+01,2.1369713283e+00,5.794503e-07
6.7800541222e+07,1.9003783428e+01,2.1359699129e+00,6.227448e-07
6.7985262425e+07,1.8393506154e+01,2.1349780916e+00,8.330990e-07
6.8209983628e+07,1.8412983040e+01,2.1338249839e+00,8.317198e-07
6.8394705231e+07,1.9065695916e+01,2.1330224200e+00,2.684594e-07
6.8619426434e+07,1.8747200587e+01,2.1321625003e+00,9.631090e-07
6.8804148037e+07,1.8610369429e+01,2.1315126000e+00,9.098206e-07
6.8988869240e+07,1.8509281129e+01,2.1309956132e+00,6.671114e-07
6.9213590443e+07,1.9144135573e+01,2.1304849623e+00,7.220440e-07
6.9398312046e+07,1.9233434673e+01,2.1302413983e+00,5.916557e-07
6.9583033249e+07,1.8714570773e+01,2.1300056524e+00,6.425670e-07
6.9807754852e+07,1.8813106280e+01,2.1298410379e+00,6.055396e-07
6.9992476055e+07,1.9055134065e+01,2.1297973764e+00,8.088256e-07
7.0217197258e+07,1.9450147792e+01,2.1299708247e+00,7.303644e-07
7.0401918861e+07,1.8999707412e+01,2.1302402175e+00,9.100443e-07
7.0586640064e+07,1.8814480136e+01,2.1305547511e+00,9.500043e-07
7.0811361667e+07,1.9199581382e+01,2.1311271465e+00,8.335842e-07
7.0996082870e+07,1.9304041695e+01,2.1318358894e+00,7.568106e-07
7.1180804072e+07,1.8988594871e+01,2.1325527838e+00,5.899998e-07
7.1405525676e+07,1.9335852102e+01,2.1335560817e+00,6.091712e-07
7.1590246879e+07,1.9479760273e+01,2.1345954580e+00,6.086744e-07
7.1814968082e+07,1.9166831408e+01,2.1358605616e+00,5.979125e-07
7.1999689685e+07,1.8890653612e+01,2.1370321077e+00,7.218405e-07
7.2184410887e+07,1.9593192983e+01,2.1384386086e+00,8.663864e-07
7.2409132491e+07,1.8845677369e+01,2.1402733882e+00,9.261325e-07
